duration,temperature,population,individual,pi_abs,fv_fm
15,28,Svalbard,S28,0.342,0.692
15,28,Svalbard,S3,0.63266667,0.694
15,28,Svalbard,S31,0.51633333,0.6616667
15,28,Svalbard,S36,0.38466667,0.6593333
15,28,Svalbard,S5,0.41266667,0.683
60,28,Kirkenes,K10,0.279,0.6313333
60,28,Kirkenes,K16,0.23533333,0.675
60,28,Kirkenes,K17,0.30833333,0.6446667
60,28,Kirkenes,K23,0.329,0.673
60,28,Kirkenes,K30,0.49166667,0.662
60,28,Kirkenes,K35,0.38733333,0.6943333
60,28,Svalbard,S2,0.31933333,0.6276667
60,28,Svalbard,S28,0.46,0.6643333
60,28,Svalbard,S3,0.35833333,0.6683333
60,28,Svalbard,S31,0.438,0.6606667
60,28,Svalbard,S36,0.322,0.6686667
60,28,Svalbard,S5,0.45966667,0.6936667
24,28,Kirkenes,K10,0.64833333,0.6746667
24,28,Kirkenes,K16,0.89566667,0.695
24,28,Kirkenes,K17,0.322,0.5763333
24,28,Kirkenes,K23,1.02666667,0.7033333
24,28,Kirkenes,K30,0.78766667,0.6973333
24,28,Kirkenes,K35,1.126,0.735
24,28,Svalbard,S2,0.56966667,0.6383333
24,28,Svalbard,S28,0.664,0.676
24,28,Svalbard,S3,0.915,0.688
24,28,Svalbard,S31,1.019,0.71
24,28,Svalbard,S36,0.32233333,0.6413333
24,28,Svalbard,S5,0.95033333,0.703
